"","chr","to","n"
"1","BASHIR","BASHIR",1171
"2","BASHIR","DAX",150
"3","BASHIR","EZRI",30
"4","BASHIR","JAKE",25
"5","BASHIR","KIRA",121
"6","BASHIR","NOG",14
"7","BASHIR","ODO",100
"8","BASHIR","QUARK",86
"9","BASHIR","SISKO",238
"10","BASHIR","WORF",44
"11","DAX","BASHIR",136
"12","DAX","DAX",713
"13","DAX","JAKE",9
"14","DAX","KIRA",147
"15","DAX","NOG",17
"16","DAX","ODO",60
"17","DAX","QUARK",57
"18","DAX","SISKO",292
"19","DAX","WORF",140
"20","EZRI","BASHIR",33
"21","EZRI","EZRI",204
"22","EZRI","JAKE",6
"23","EZRI","KIRA",9
"24","EZRI","NOG",6
"25","EZRI","ODO",13
"26","EZRI","QUARK",22
"27","EZRI","SISKO",37
"28","EZRI","WORF",35
"29","JAKE","BASHIR",22
"30","JAKE","DAX",6
"31","JAKE","EZRI",4
"32","JAKE","JAKE",313
"33","JAKE","KIRA",25
"34","JAKE","NOG",78
"35","JAKE","ODO",22
"36","JAKE","QUARK",22
"37","JAKE","SISKO",127
"38","JAKE","WORF",4
"39","KIRA","BASHIR",116
"40","KIRA","DAX",151
"41","KIRA","EZRI",8
"42","KIRA","JAKE",22
"43","KIRA","KIRA",973
"44","KIRA","NOG",21
"45","KIRA","ODO",235
"46","KIRA","QUARK",64
"47","KIRA","SISKO",346
"48","KIRA","WORF",40
"49","NOG","BASHIR",20
"50","NOG","DAX",22
"51","NOG","EZRI",7
"52","NOG","JAKE",85
"53","NOG","KIRA",18
"54","NOG","NOG",272
"55","NOG","ODO",12
"56","NOG","QUARK",37
"57","NOG","SISKO",48
"58","NOG","WORF",8
"59","ODO","BASHIR",113
"60","ODO","DAX",61
"61","ODO","EZRI",6
"62","ODO","JAKE",17
"63","ODO","KIRA",246
"64","ODO","NOG",17
"65","ODO","ODO",1014
"66","ODO","QUARK",176
"67","ODO","SISKO",214
"68","ODO","WORF",26
"69","QUARK","BASHIR",81
"70","QUARK","DAX",50
"71","QUARK","EZRI",21
"72","QUARK","JAKE",23
"73","QUARK","KIRA",71
"74","QUARK","NOG",30
"75","QUARK","ODO",182
"76","QUARK","QUARK",935
"77","QUARK","SISKO",79
"78","QUARK","WORF",21
"79","SISKO","BASHIR",263
"80","SISKO","DAX",292
"81","SISKO","EZRI",35
"82","SISKO","JAKE",121
"83","SISKO","KIRA",313
"84","SISKO","NOG",48
"85","SISKO","ODO",220
"86","SISKO","QUARK",84
"87","SISKO","SISKO",1709
"88","SISKO","WORF",104
"89","WORF","BASHIR",36
"90","WORF","DAX",122
"91","WORF","EZRI",37
"92","WORF","JAKE",3
"93","WORF","KIRA",40
"94","WORF","NOG",5
"95","WORF","ODO",37
"96","WORF","QUARK",25
"97","WORF","SISKO",126
"98","WORF","WORF",356
