"","chr","to","n"
"1","CRUSHER","CRUSHER",533
"2","CRUSHER","DATA",89
"3","CRUSHER","GUINAN",7
"4","CRUSHER","LAFORGE",73
"5","CRUSHER","LWAXANA",1
"6","CRUSHER","PICARD",267
"7","CRUSHER","Q",7
"8","CRUSHER","RIKER",144
"9","CRUSHER","TASHA",3
"10","CRUSHER","TROI",65
"11","CRUSHER","WESLEY",32
"12","CRUSHER","WORF",63
"13","DATA","CRUSHER",89
"14","DATA","DATA",787
"15","DATA","GUINAN",13
"16","DATA","LAFORGE",323
"17","DATA","LWAXANA",3
"18","DATA","PICARD",532
"19","DATA","PULASKI",26
"20","DATA","Q",15
"21","DATA","RIKER",329
"22","DATA","TASHA",26
"23","DATA","TROI",106
"24","DATA","WESLEY",36
"25","DATA","WORF",164
"26","GUINAN","CRUSHER",7
"27","GUINAN","DATA",15
"28","GUINAN","GUINAN",132
"29","GUINAN","LAFORGE",16
"30","GUINAN","PICARD",20
"31","GUINAN","Q",5
"32","GUINAN","RIKER",15
"33","GUINAN","TASHA",4
"34","GUINAN","TROI",4
"35","GUINAN","WESLEY",6
"36","GUINAN","WORF",4
"37","LAFORGE","CRUSHER",87
"38","LAFORGE","DATA",297
"39","LAFORGE","GUINAN",13
"40","LAFORGE","LAFORGE",669
"41","LAFORGE","LWAXANA",3
"42","LAFORGE","PICARD",294
"43","LAFORGE","PULASKI",13
"44","LAFORGE","Q",11
"45","LAFORGE","RIKER",204
"46","LAFORGE","TASHA",13
"47","LAFORGE","TROI",55
"48","LAFORGE","WESLEY",43
"49","LAFORGE","WORF",100
"50","LWAXANA","CRUSHER",2
"51","LWAXANA","DATA",5
"52","LWAXANA","LAFORGE",4
"53","LWAXANA","LWAXANA",66
"54","LWAXANA","PICARD",22
"55","LWAXANA","PULASKI",1
"56","LWAXANA","RIKER",6
"57","LWAXANA","TROI",32
"58","LWAXANA","WESLEY",2
"59","LWAXANA","WORF",6
"60","PICARD","CRUSHER",248
"61","PICARD","DATA",518
"62","PICARD","GUINAN",29
"63","PICARD","LAFORGE",288
"64","PICARD","LWAXANA",19
"65","PICARD","PICARD",2269
"66","PICARD","PULASKI",37
"67","PICARD","Q",80
"68","PICARD","RIKER",570
"69","PICARD","TASHA",47
"70","PICARD","TROI",222
"71","PICARD","WESLEY",92
"72","PICARD","WORF",303
"73","PULASKI","DATA",24
"74","PULASKI","LAFORGE",10
"75","PULASKI","LWAXANA",2
"76","PULASKI","PICARD",33
"77","PULASKI","PULASKI",79
"78","PULASKI","RIKER",24
"79","PULASKI","TROI",23
"80","PULASKI","WESLEY",1
"81","PULASKI","WORF",6
"82","Q","CRUSHER",5
"83","Q","DATA",16
"84","Q","GUINAN",4
"85","Q","LAFORGE",12
"86","Q","PICARD",84
"87","Q","Q",98
"88","Q","RIKER",15
"89","Q","TASHA",1
"90","Q","TROI",4
"91","Q","WESLEY",1
"92","Q","WORF",7
"93","RIKER","CRUSHER",133
"94","RIKER","DATA",325
"95","RIKER","GUINAN",12
"96","RIKER","LAFORGE",197
"97","RIKER","LWAXANA",11
"98","RIKER","PICARD",559
"99","RIKER","PULASKI",23
"100","RIKER","Q",19
"101","RIKER","RIKER",1100
"102","RIKER","TASHA",34
"103","RIKER","TROI",147
"104","RIKER","WESLEY",62
"105","RIKER","WORF",248
"106","TASHA","CRUSHER",4
"107","TASHA","DATA",26
"108","TASHA","GUINAN",2
"109","TASHA","LAFORGE",14
"110","TASHA","LWAXANA",1
"111","TASHA","PICARD",48
"112","TASHA","Q",1
"113","TASHA","RIKER",30
"114","TASHA","TASHA",47
"115","TASHA","TROI",10
"116","TASHA","WESLEY",4
"117","TASHA","WORF",12
"118","TROI","CRUSHER",60
"119","TROI","DATA",116
"120","TROI","GUINAN",4
"121","TROI","LAFORGE",50
"122","TROI","LWAXANA",35
"123","TROI","PICARD",213
"124","TROI","PULASKI",16
"125","TROI","Q",3
"126","TROI","RIKER",150
"127","TROI","TASHA",14
"128","TROI","TROI",587
"129","TROI","WESLEY",9
"130","TROI","WORF",78
"131","WESLEY","CRUSHER",35
"132","WESLEY","DATA",41
"133","WESLEY","GUINAN",9
"134","WESLEY","LAFORGE",42
"135","WESLEY","PICARD",94
"136","WESLEY","PULASKI",2
"137","WESLEY","RIKER",57
"138","WESLEY","TASHA",3
"139","WESLEY","TROI",9
"140","WESLEY","WESLEY",257
"141","WESLEY","WORF",24
"142","WORF","CRUSHER",48
"143","WORF","DATA",171
"144","WORF","GUINAN",4
"145","WORF","LAFORGE",85
"146","WORF","LWAXANA",5
"147","WORF","PICARD",312
"148","WORF","PULASKI",7
"149","WORF","Q",6
"150","WORF","RIKER",234
"151","WORF","TASHA",9
"152","WORF","TROI",106
"153","WORF","WESLEY",31
"154","WORF","WORF",535
