"","chr","to","n"
"1","CHEKOV","CHEKOV",53
"2","CHEKOV","KIRK",61
"3","CHEKOV","MCCOY",12
"4","CHEKOV","SCOTT",12
"5","CHEKOV","SPOCK",22
"6","CHEKOV","SULU",13
"7","CHEKOV","UHURA",16
"8","KIRK","CHEKOV",59
"9","KIRK","KIRK",1860
"10","KIRK","MCCOY",344
"11","KIRK","SCOTT",168
"12","KIRK","SPOCK",671
"13","KIRK","SULU",100
"14","KIRK","UHURA",108
"15","MCCOY","CHEKOV",6
"16","MCCOY","KIRK",354
"17","MCCOY","MCCOY",305
"18","MCCOY","SCOTT",44
"19","MCCOY","SPOCK",243
"20","MCCOY","SULU",11
"21","MCCOY","UHURA",18
"22","SCOTT","CHEKOV",12
"23","SCOTT","KIRK",165
"24","SCOTT","MCCOY",55
"25","SCOTT","SCOTT",142
"26","SCOTT","SPOCK",86
"27","SCOTT","SULU",20
"28","SCOTT","UHURA",16
"29","SPOCK","CHEKOV",26
"30","SPOCK","KIRK",679
"31","SPOCK","MCCOY",245
"32","SPOCK","SCOTT",94
"33","SPOCK","SPOCK",603
"34","SPOCK","SULU",43
"35","SPOCK","UHURA",59
"36","SULU","CHEKOV",19
"37","SULU","KIRK",98
"38","SULU","MCCOY",14
"39","SULU","SCOTT",17
"40","SULU","SPOCK",51
"41","SULU","SULU",58
"42","SULU","UHURA",21
"43","UHURA","CHEKOV",8
"44","UHURA","KIRK",119
"45","UHURA","MCCOY",14
"46","UHURA","SCOTT",18
"47","UHURA","SPOCK",59
"48","UHURA","SULU",22
"49","UHURA","UHURA",59
