"","chr","to","n"
"1","CAREY","CAREY",12
"2","CAREY","CHAKOTAY",3
"3","CAREY","JANEWAY",3
"4","CAREY","KIM",1
"5","CAREY","PARIS",2
"6","CAREY","SEVEN",1
"7","CAREY","TORRES",6
"8","CAREY","TUVOK",1
"9","CHAKOTAY","CHAKOTAY",829
"10","CHAKOTAY","JANEWAY",510
"11","CHAKOTAY","KES",18
"12","CHAKOTAY","KIM",164
"13","CHAKOTAY","NEELIX",85
"14","CHAKOTAY","PARIS",136
"15","CHAKOTAY","SEVEN",106
"16","CHAKOTAY","TORRES",129
"17","CHAKOTAY","TUVOK",191
"18","DOCTOR","DOCTOR",1
"19","DOCTOR","KIM",1
"20","DOCTOR","PARIS",1
"21","DOCTOR","TUVOK",2
"22","JANEWAY","CAREY",7
"23","JANEWAY","CHAKOTAY",507
"24","JANEWAY","JANEWAY",2072
"25","JANEWAY","KES",62
"26","JANEWAY","KIM",289
"27","JANEWAY","NEELIX",146
"28","JANEWAY","PARIS",270
"29","JANEWAY","SEVEN",258
"30","JANEWAY","TORRES",233
"31","JANEWAY","TUVOK",384
"32","KES","CHAKOTAY",10
"33","KES","JANEWAY",65
"34","KES","KES",216
"35","KES","KIM",21
"36","KES","NEELIX",40
"37","KES","PARIS",21
"38","KES","SEVEN",1
"39","KES","TORRES",17
"40","KES","TUVOK",25
"41","KIM","CAREY",2
"42","KIM","CHAKOTAY",156
"43","KIM","JANEWAY",316
"44","KIM","KES",11
"45","KIM","KIM",617
"46","KIM","NEELIX",54
"47","KIM","PARIS",214
"48","KIM","SEVEN",72
"49","KIM","TORRES",104
"50","KIM","TUVOK",128
"51","NEELIX","CAREY",1
"52","NEELIX","CHAKOTAY",80
"53","NEELIX","JANEWAY",146
"54","NEELIX","KES",50
"55","NEELIX","KIM",55
"56","NEELIX","NEELIX",584
"57","NEELIX","PARIS",109
"58","NEELIX","SEVEN",58
"59","NEELIX","TORRES",54
"60","NEELIX","TUVOK",109
"61","PARIS","CHAKOTAY",152
"62","PARIS","DOCTOR",1
"63","PARIS","JANEWAY",259
"64","PARIS","KES",23
"65","PARIS","KIM",217
"66","PARIS","NEELIX",116
"67","PARIS","PARIS",739
"68","PARIS","SEVEN",57
"69","PARIS","TORRES",207
"70","PARIS","TUVOK",163
"71","SEVEN","CAREY",1
"72","SEVEN","CHAKOTAY",105
"73","SEVEN","JANEWAY",257
"74","SEVEN","KIM",80
"75","SEVEN","NEELIX",57
"76","SEVEN","PARIS",57
"77","SEVEN","SEVEN",765
"78","SEVEN","TORRES",49
"79","SEVEN","TUVOK",77
"80","TORRES","CAREY",5
"81","TORRES","CHAKOTAY",149
"82","TORRES","JANEWAY",221
"83","TORRES","KES",15
"84","TORRES","KIM",114
"85","TORRES","NEELIX",51
"86","TORRES","PARIS",213
"87","TORRES","SEVEN",49
"88","TORRES","TORRES",689
"89","TORRES","TUVOK",79
"90","TUVOK","CAREY",2
"91","TUVOK","CHAKOTAY",166
"92","TUVOK","DOCTOR",2
"93","TUVOK","JANEWAY",436
"94","TUVOK","KES",26
"95","TUVOK","KIM",129
"96","TUVOK","NEELIX",107
"97","TUVOK","PARIS",147
"98","TUVOK","SEVEN",77
"99","TUVOK","TORRES",79
"100","TUVOK","TUVOK",539
